date,reef,season,blade,lightlevel_timepoint,wet_mass_,dry_mass_g,length_cm,width_cm,age_d,PAR,chlA_nmol_g,FX_nmol_g,chlA_g_g,NPP_umolC_g_hr,DOC_umolC_g_hr,tissue_C_percent,tissue_N_percent,C_N,Chl_C,growth_rate_hr,N_N_uM,a270_m_g_l_hr,flag,flag_note
8/9/23,MK,Summer,4,6,23.1,2.818,75,11,16,1320,294,220,0.00215,264.9,3.5,26.66,0.95,27.94,0.0081,0.012,4.7,0.124,1,
8/9/23,MK,Summer,5,6,23.404,2.704,68,10,16,1359,258,197,0.00199,240.2,3.9,26.21,0.89,29.34,0.0076,0.011,4.9,0.132,1,
8/9/23,MK,Summer,6,6,27.014,2.978,78,10,16,1218,256,186,0.00208,198.2,7.9,23.64,0.94,25.07,0.0088,0.01,4.8,0.08,1,
8/23/23,MK,Summer,1,1,17.494,2.41,54,9,30,0,273,179,0.00177,-18.5,1.9,28.99,1,29.1,0.0061,-0.001,2.8,0.04,1,
8/23/23,MK,Summer,2,1,15.07,1.735,46,10,30,0,206,124,0.0016,-22.6,32.1,24.95,0.87,28.55,0.0064,-0.001,3.6,,2,Stir bar damaged Blade 2 between timepoints 2-3. Blade 2 previously (T0-T1 and T1-T2) had release rates of 4.7 and 5.9 respectively. Excluded this DOC data from analysis.
8/23/23,MK,Summer,3,1,15.175,1.705,47,10,30,0,198,122,0.00157,-17.4,16.1,24.38,0.76,32.09,0.0065,-0.001,4,,2,Stir bar damaged Blade 3 between timepoints 2-3. Blade 3 previously (T0-T1 and T1-T2) had release rates of -1.2 and 3.9 respectively. Excluded this DOC data from analysis.
8/23/23,MK,Summer,4,2,17.313,2.252,60,9,30,72,251,183,0.00172,53.9,-0.2,28.66,1.02,28.15,0.006,0.002,2.5,0.019,1,
8/23/23,MK,Summer,5,2,17.932,2.039,59,9,30,70,231,154,0.00182,65.1,1.6,25.62,0.81,31.64,0.0071,0.003,2,0.051,1,
8/23/23,MK,Summer,6,2,14.129,1.959,55,8,30,66,271,195,0.00175,39.2,0.5,28.49,0.94,30.22,0.0061,0.002,3.6,0.034,1,
8/23/23,MK,Summer,1,3,17.494,2.41,54,9,30,125,273,179,0.00177,99.7,0.8,28.99,1,29.1,0.0061,0.004,4.2,0.035,1,
8/23/23,MK,Summer,2,3,15.07,1.735,46,10,30,110,206,124,0.0016,92.5,4.7,24.95,0.87,28.55,0.0064,0.004,4.7,0.182,1,
8/23/23,MK,Summer,3,3,15.175,1.705,47,10,30,74,198,122,0.00157,69.6,3.9,24.38,0.76,32.09,0.0065,0.003,4.9,0.046,1,
8/23/23,MK,Summer,4,4,17.313,2.252,60,9,30,267,251,183,0.00172,143.4,2.6,28.66,1.02,28.15,0.006,0.006,3.9,0.052,1,
8/23/23,MK,Summer,5,4,17.932,2.039,59,9,30,288,231,154,0.00182,153.4,0,25.62,0.81,31.64,0.0071,0.007,3.5,0.047,1,
8/23/23,MK,Summer,6,4,14.129,1.959,55,8,30,250,271,195,0.00175,114.7,1.8,28.49,0.94,30.22,0.0061,0.005,4.7,0.013,1,
8/23/23,MK,Summer,1,5,17.494,2.41,54,9,30,525,273,179,0.00177,165.2,3.7,28.99,1,29.1,0.0061,0.007,5.9,0.031,1,
8/23/23,MK,Summer,2,5,15.07,1.735,46,10,30,545,206,124,0.0016,124.4,5.9,24.95,0.87,28.55,0.0064,0.006,6.1,0.164,1,
8/23/23,MK,Summer,3,5,15.175,1.705,47,10,30,400,198,122,0.00157,110.5,-1.2,24.38,0.76,32.09,0.0065,0.005,6.1,0.061,1,
8/23/23,MK,Summer,4,6,17.313,2.252,60,9,30,1395,251,183,0.00172,179.9,2,28.66,1.02,28.15,0.006,0.008,5.8,0.051,1,
8/23/23,MK,Summer,5,6,17.932,2.039,59,9,30,1517,231,154,0.00182,190.5,2.2,25.62,0.81,31.64,0.0071,0.009,5.7,0.087,1,
8/23/23,MK,Summer,6,6,14.129,1.959,55,8,30,1295,271,195,0.00175,163.2,3.9,28.49,0.94,30.22,0.0061,0.007,6.3,0.038,1,
9/5/23,MK,Summer,1,1,19.159,2.763,55,9,43,0,325,203,0.00201,-15.1,0.1,29.66,0.91,32.63,0.0068,-0.001,0.9,0.052,1,
9/5/23,MK,Summer,2,1,13.39,1.508,40,8,43,0,182,142,0.00145,-15.5,2.2,25.16,0.75,33.77,0.0057,-0.001,2.7,0.152,1,
9/5/23,MK,Summer,3,1,11.476,1.312,30,8,43,0,232,155,0.00181,-19.2,2.7,24.95,1,24.9,0.0073,-0.001,3.5,0.125,1,
9/5/23,MK,Summer,4,2,19.435,2.864,61,8,43,62,326,209,0.00198,37.7,0.2,30.23,0.91,33.24,0.0065,0.001,3.5,0.057,1,
9/5/23,MK,Summer,5,2,10.778,1.232,33,8,43,65,213,142,0.00167,36.1,0,24.89,0.84,29.69,0.0067,0.002,0.9,0.062,1,
9/5/23,MK,Summer,6,2,15.049,1.373,33,8,43,51,263,139,0.00258,43.5,4.9,20.88,1.02,20.37,0.0123,0.003,2.2,0.148,1,
9/5/23,MK,Summer,1,3,19.159,2.763,55,9,43,115,325,203,0.00201,93.8,1.7,29.66,0.91,32.63,0.0068,0.004,2.3,0.077,1,
9/5/23,MK,Summer,2,3,13.39,1.508,40,8,43,121,182,142,0.00145,65,2.2,25.16,0.75,33.77,0.0057,0.003,3.7,0.172,1,
9/5/23,MK,Summer,3,3,11.476,1.312,30,8,43,90,232,155,0.00181,63.3,1.7,24.95,1,24.9,0.0073,0.003,4.2,0.155,1,
9/5/23,MK,Summer,4,4,19.435,2.864,61,8,43,270,326,209,0.00198,118.1,1.9,30.23,0.91,33.24,0.0065,0.005,2.4,0.09,1,
9/5/23,MK,Summer,5,4,10.778,1.232,33,8,43,307,213,142,0.00167,83.5,3,24.89,0.84,29.69,0.0067,0.004,4.2,0.08,1,
9/5/23,MK,Summer,6,4,15.049,1.373,33,8,43,245,263,139,0.00258,112.9,5.8,20.88,1.02,20.37,0.0123,0.006,3.4,0.163,1,
9/5/23,MK,Summer,1,5,19.159,2.763,55,9,43,451,325,203,0.00201,149.8,0.9,29.66,0.91,32.63,0.0068,0.006,4.5,0.096,1,
9/5/23,MK,Summer,2,5,13.39,1.508,40,8,43,470,182,142,0.00145,84.5,3.2,25.16,0.75,33.77,0.0057,0.004,4.9,0.21,1,
9/5/23,MK,Summer,3,5,11.476,1.312,30,8,43,342,232,155,0.00181,98.1,4.9,24.95,1,24.9,0.0073,0.005,5,0.169,1,
9/5/23,MK,Summer,4,6,19.435,2.864,61,8,43,1225,326,209,0.00198,159,3.5,30.23,0.91,33.24,0.0065,0.006,4.4,0.117,1,
9/5/23,MK,Summer,5,6,10.778,1.232,33,8,43,1290,213,142,0.00167,104.3,0.7,24.89,0.84,29.69,0.0067,0.005,4.9,0.12,1,
9/5/23,MK,Summer,6,6,15.049,1.373,33,8,43,1095,263,139,0.00258,148,6.7,20.88,1.02,20.37,0.0123,0.009,4.6,0.24,1,
9/26/23,MK,Summer,1,1,22.384,2.967,55,8,64,0,208,65,0.0014,-18.3,1.9,27.43,0.81,33.66,0.0051,-0.001,1,0.108,1,
9/26/23,MK,Summer,2,1,12.701,1.594,37,8,64,0,147,80,0.00105,-17.9,4.9,26.47,0.76,34.75,0.0039,-0.001,1.4,0.329,1,
9/26/23,MK,Summer,3,1,10.051,1.124,27,7,64,0,71,39,0.00057,-23.4,41.5,24.9,0.63,39.82,0.0023,-0.001,2,0.824,1,
9/26/23,MK,Summer,4,2,8.131,0.911,27,8,64,56,25,42,0.0002,-15.8,44.5,24.46,0.68,35.94,0.0008,-0.001,2.6,1.825,1,
9/26/23,MK,Summer,5,2,9.887,1.184,30,8,64,60,37,44,0.00027,-2,2.9,24.99,0.76,33.01,0.0011,0,2,0.41,1,
9/26/23,MK,Summer,6,2,20.882,2.536,49,8,64,51,221,72,0.00163,22.6,3.5,25.19,0.8,31.64,0.0065,0.001,1.7,0.177,1,
9/26/23,MK,Summer,1,3,22.384,2.967,55,8,64,121,208,65,0.0014,61,3,27.43,0.81,33.66,0.0051,0.003,2.1,0.173,1,
9/26/23,MK,Summer,2,3,12.701,1.594,37,8,64,115,147,80,0.00105,40.7,4.1,26.47,0.76,34.75,0.0039,0.002,2.5,0.315,1,
9/26/23,MK,Summer,3,3,10.051,1.124,27,7,64,85,71,39,0.00057,4.3,42.2,24.9,0.63,39.82,0.0023,0,3,0.891,1,
9/26/23,MK,Summer,4,4,8.131,0.911,27,8,64,268,25,42,0.0002,-2,41.7,24.46,0.68,35.94,0.0008,0,3.2,2.468,1,
9/26/23,MK,Summer,5,4,9.887,1.184,30,8,64,315,37,44,0.00027,18.1,2.8,24.99,0.76,33.01,0.0011,0.001,2.8,0.334,1,
9/26/23,MK,Summer,6,4,20.882,2.536,49,8,64,236,221,72,0.00163,57,2.8,25.19,0.8,31.64,0.0065,0.003,2.7,0.213,1,
9/26/23,MK,Summer,1,5,22.384,2.967,55,8,64,468,208,65,0.0014,93.9,4.6,27.43,0.81,33.66,0.0051,0.004,3.5,0.217,1,
9/26/23,MK,Summer,2,5,12.701,1.594,37,8,64,465,147,80,0.00105,86.3,4.7,26.47,0.76,34.75,0.0039,0.004,3.7,0.328,1,
9/26/23,MK,Summer,3,5,10.051,1.124,27,7,64,345,71,39,0.00057,11.3,39.5,24.9,0.63,39.82,0.0023,0.001,3.5,0.855,1,
9/26/23,MK,Summer,4,6,8.131,0.911,27,8,64,1235,25,42,0.0002,0.1,40.4,24.46,0.68,35.94,0.0008,0,4.1,2.602,1,
9/26/23,MK,Summer,5,6,9.887,1.184,30,8,64,1325,37,44,0.00027,32.7,6.2,24.99,0.76,33.01,0.0011,0.002,3.8,0.312,1,
9/26/23,MK,Summer,6,6,20.882,2.536,49,8,64,1121,221,72,0.00163,74.8,4.6,25.19,0.8,31.64,0.0065,0.004,3.7,0.272,1,
10/10/23,MK,Summer,1,1,14.188,1.622,26,9,78,0,120,87,0.00093,-28.1,4.9,24.69,0.72,34.45,0.0038,-0.001,2.8,0.236,1,
10/10/23,MK,Summer,2,1,10.602,1.215,,,78,0,65,52,0.0005,-29.5,11.6,23.93,0.64,37.12,0.0021,-0.001,2.2,0.616,1,
10/10/23,MK,Summer,3,1,6.439,0.677,25,5,78,0,11,45,0.0001,-169.7,64.5,24.44,0.63,38.84,0.0004,-0.008,2,1.887,2,As a result fo sampling wrong incubation for blade 3 at T2 the wrong DIC concentration (for T2) was used to calcualate the delta DIC for the time interval (T2-T3) at this light level.
10/10/23,MK,Summer,4,2,12.304,1.357,25,8,78,42,94,71,0.00076,-30.3,25.8,23.4,0.68,34.4,0.0032,-0.002,2.2,0.638,1,
10/10/23,MK,Summer,5,2,10.364,1.129,25,7,78,47,95,70,0.00078,-6.3,19.3,23.98,0.68,35.47,0.0032,0,1.9,0.733,1,
10/10/23,MK,Summer,6,2,9.821,1.074,24,6,78,49,96,79,0.00078,26.5,18.8,23.82,0.66,35.86,0.0033,0.001,2.6,0.469,1,
10/10/23,MK,Summer,1,3,14.188,1.622,26,9,78,110,120,87,0.00093,61,2.8,24.69,0.72,34.45,0.0038,0.003,3.1,0.234,1,
10/10/23,MK,Summer,2,3,10.602,1.215,,,78,110,65,52,0.0005,43.9,14,23.93,0.64,37.12,0.0021,0.002,2.9,0.602,1,
10/10/23,MK,Summer,3,3,6.439,0.677,25,5,78,75,11,45,0.0001,152.8,64.9,24.44,0.63,38.84,0.0004,0.008,2.9,2.527,2,Sampling error. Sampled DIC for Blade 4 instead of Blade 3 at T2. Additional effect for the delta DIC calculated for T2-T3 for Blade 3. 
10/10/23,MK,Summer,4,4,12.304,1.357,25,8,78,212,94,71,0.00076,54.9,31.6,23.4,0.68,34.4,0.0032,0.003,2.9,0.687,1,
10/10/23,MK,Summer,5,4,10.364,1.129,25,7,78,167,95,70,0.00078,42.9,29.5,23.98,0.68,35.47,0.0032,0.002,2.7,0.964,1,
10/10/23,MK,Summer,6,4,9.821,1.074,24,6,78,190,96,79,0.00078,19,21.2,23.82,0.66,35.86,0.0033,0.001,3.1,0.572,1,
10/10/23,MK,Summer,1,5,14.188,1.622,26,9,78,469,120,87,0.00093,36.6,5.1,24.69,0.72,34.45,0.0038,0.002,3.5,0.255,1,
10/10/23,MK,Summer,2,5,10.602,1.215,,,78,351,65,52,0.0005,25.7,11.2,23.93,0.64,37.12,0.0021,0.001,3.5,0.572,1,
10/10/23,MK,Summer,3,5,6.439,0.677,25,5,78,356,11,45,0.0001,-18.6,65.3,24.44,0.63,38.84,0.0004,-0.001,3.5,2.198,1,
10/10/23,MK,Summer,4,6,12.304,1.357,25,8,78,1070,94,71,0.00076,8.7,29.1,23.4,0.68,34.4,0.0032,0,3.4,0.792,1,
10/10/23,MK,Summer,5,6,10.364,1.129,25,7,78,1090,95,70,0.00078,21.9,22.6,23.98,0.68,35.47,0.0032,0.001,3.4,0.957,1,
10/10/23,MK,Summer,6,6,9.821,1.074,24,6,78,1140,96,79,0.00078,16.9,18.6,23.82,0.66,35.86,0.0033,0.001,3.5,0.471,1,
12/19/23,MK,Winter,1,1,14.466,1.849,54,7,18,0,430,,0.003,-29.8,0.2,26.57,1.42,18.65,0.0113,-0.001,,0.048,1,
12/19/23,MK,Winter,2,1,10.619,1.288,50,7,18,0,435,,0.00321,-49.3,1.3,26.3,1.35,19.42,0.0122,-0.002,,,1,
12/19/23,MK,Winter,3,1,14.713,1.614,58,7,18,0,395,,0.00322,-37.9,-0.4,23.86,1.41,16.91,0.0135,-0.002,,0.058,1,
12/19/23,MK,Winter,4,2,11.045,1.38,43,8,18,54,397,,0.00284,43.2,1,26.67,1.41,18.91,0.0106,0.002,,0.112,1,
12/19/23,MK,Winter,5,2,14.67,1.851,49,9,18,56,351,,0.00249,55.1,1.1,26.83,1.45,18.56,0.0093,0.002,,0.058,1,
12/19/23,MK,Winter,6,2,7.106,0.797,33,7,18,50,335,,0.00267,26.9,3.7,24.44,1.46,16.74,0.0109,0.001,,0.073,1,
12/19/23,MK,Winter,1,3,14.466,1.849,54,7,18,97,430,,0.003,98.2,1.8,26.57,1.42,18.65,0.0113,0.004,,0.094,1,
12/19/23,MK,Winter,2,3,10.619,1.288,50,7,18,98,435,,0.00321,118.7,0.8,26.3,1.35,19.42,0.0122,0.005,,0.18,1,
12/19/23,MK,Winter,3,3,14.713,1.614,58,7,18,90,395,,0.00322,104,9.4,23.86,1.41,16.91,0.0135,0.005,,0.061,1,
12/19/23,MK,Winter,4,4,11.045,1.38,43,8,18,235,397,,0.00284,125.5,4.1,26.67,1.41,18.91,0.0106,0.006,,0.146,1,
12/19/23,MK,Winter,5,4,14.67,1.851,49,9,18,280,351,,0.00249,152.2,1,26.83,1.45,18.56,0.0093,0.007,,0.061,1,
12/19/23,MK,Winter,6,4,7.106,0.797,33,7,18,235,335,,0.00267,157.8,5.5,24.44,1.46,16.74,0.0109,0.008,,0.07,1,
12/19/23,MK,Winter,1,5,14.466,1.849,54,7,18,462,430,,0.003,226.4,4.1,26.57,1.42,18.65,0.0113,0.01,,0.089,1,
12/19/23,MK,Winter,2,5,10.619,1.288,50,7,18,481,435,,0.00321,252.3,4.9,26.3,1.35,19.42,0.0122,0.012,,0.155,1,
12/19/23,MK,Winter,3,5,14.713,1.614,58,7,18,375,395,,0.00322,229,19.2,23.86,1.41,16.91,0.0135,0.012,,0.098,1,
12/19/23,MK,Winter,4,6,11.045,1.38,43,8,18,1009,397,,0.00284,214.7,6.4,26.67,1.41,18.91,0.0106,0.01,,0.173,1,
12/19/23,MK,Winter,5,6,14.67,1.851,49,9,18,1215,351,,0.00249,243.6,5.6,26.83,1.45,18.56,0.0093,0.011,,0.139,1,
12/19/23,MK,Winter,6,6,7.106,0.797,33,7,18,1115,335,,0.00267,207.4,14.3,24.44,1.46,16.74,0.0109,0.01,,0.125,1,
2/11/24,IV,Winter,1,1,18.572,1.43,,,14,0,292,,0.00339,-32.2,1.5,24.7,1.56,15.82,0.0137,-0.002,,0.042,1,
2/11/24,IV,Winter,2,1,,,,,14,,,,,,,,,,,,,,2,No blade 2. Empty well. Collected DOC and DIC samples which show stability in seawater media without kelp
2/11/24,IV,Winter,3,1,20.414,1.382,,,14,0,286,,0.00377,-41.3,3.7,22.03,1.94,11.34,0.0171,-0.002,,0.061,1,
2/11/24,IV,Winter,4,2,17.01,1.232,,,14,34,283,,0.0035,40.6,2.6,25.75,1.61,16.04,0.0136,0.002,,0.079,1,
2/11/24,IV,Winter,5,2,16.665,1.177,,,14,38,286,,0.00362,44.3,4,25.46,1.72,14.82,0.0142,0.002,,0.09,1,
2/11/24,IV,Winter,6,2,21.127,1.439,,,14,40,250,,0.00328,49,1.5,23.52,2.23,10.55,0.0139,0.003,,0.066,1,
2/11/24,IV,Winter,1,3,18.572,1.43,,,14,135,292,,0.00339,110.6,1.5,24.7,1.56,15.82,0.0137,0.005,,0.095,1,
2/11/24,IV,Winter,2,3,,,,,14,,,,,,,,,,,,,,2,No blade 2. Empty well. Collected DOC and DIC samples which show stability in seawater media without kelp
2/11/24,IV,Winter,3,3,20.414,1.382,,,14,157,286,,0.00377,140.6,5.7,22.03,1.94,11.34,0.0171,0.008,,0.051,1,
2/11/24,IV,Winter,4,4,17.01,1.232,,,14,405,283,,0.0035,172.9,2.1,25.75,1.61,16.04,0.0136,0.008,,0.091,1,
2/11/24,IV,Winter,5,4,16.665,1.177,,,14,448,286,,0.00362,169.6,3.6,25.46,1.72,14.82,0.0142,0.008,,0.118,1,
2/11/24,IV,Winter,6,4,21.127,1.439,,,14,334,250,,0.00328,130.2,3.6,23.52,2.23,10.55,0.0139,0.007,,0.06,1,
2/11/24,IV,Winter,1,5,18.572,1.43,,,14,695,292,,0.00339,192,3.9,24.7,1.56,15.82,0.0137,0.009,,0.151,1,
2/11/24,IV,Winter,2,5,,,,,14,,,,,,,,,,,,,,2,No blade 2. Empty well. Collected DOC and DIC samples which show stability in seawater media without kelp
2/11/24,IV,Winter,3,5,20.414,1.382,,,14,764,286,,0.00377,190.7,15.9,22.03,1.94,11.34,0.0171,0.01,,0.088,1,
2/11/24,IV,Winter,4,6,17.01,1.232,,,14,1321,283,,0.0035,224.6,5.5,25.75,1.61,16.04,0.0136,0.01,,0.156,1,
2/11/24,IV,Winter,5,6,16.665,1.177,,,14,1287,286,,0.00362,224.7,5.6,25.46,1.72,14.82,0.0142,0.011,,0.146,1,
2/11/24,IV,Winter,6,6,21.127,1.439,,,14,1112,250,,0.00328,145.3,3.4,23.52,2.23,10.55,0.0139,0.007,,0.103,1,
4/17/24,MK,Spring,1,1,20.614,2.836,55,9,16,0,432,323,0.0028,-20.9,0.7,27.94,2.6,10.76,0.01,-0.001,,,1,
4/17/24,MK,Spring,2,1,25.276,3.169,65,9,16,0,489,356,0.00349,-23.7,0.9,24.78,2.66,9.31,0.0141,-0.001,,,1,
4/17/24,MK,Spring,3,1,25.051,3.39,64,8,16,0,466,354,0.00308,-17.6,0.2,27.36,2.7,10.13,0.0113,-0.001,,,1,
4/17/24,MK,Spring,4,2,17.231,1.89,57,7,16,47,692,486,0.00563,46.8,2.1,24.8,2.74,9.06,0.0227,0.002,,,1,
4/17/24,MK,Spring,5,2,23.047,2.738,60,10,16,53,386,283,0.0029,40.6,2.6,25.37,2.59,9.79,0.0114,0.002,,,1,
4/17/24,MK,Spring,6,2,22.003,2.819,62,10,16,45,445,490,0.00311,35.4,1.2,27.19,2.82,9.63,0.0114,0.002,,,1,
4/17/24,MK,Spring,1,3,20.614,2.836,55,9,16,191,432,323,0.0028,83.5,1.9,27.94,2.6,10.76,0.01,0.004,,,1,
4/17/24,MK,Spring,2,3,25.276,3.169,65,9,16,189,489,356,0.00349,107.1,2.8,24.78,2.66,9.31,0.0141,0.005,,,1,
4/17/24,MK,Spring,3,3,25.051,3.39,64,8,16,156,466,354,0.00308,85.2,1.4,27.36,2.7,10.13,0.0113,0.004,,,1,
4/17/24,MK,Spring,4,4,17.231,1.89,57,7,16,244,692,486,0.00563,130.7,4.8,24.8,2.74,9.06,0.0227,0.006,,,1,
4/17/24,MK,Spring,5,4,23.047,2.738,60,10,16,247,386,283,0.0029,100.6,1.9,25.37,2.59,9.79,0.0114,0.005,,,1,
4/17/24,MK,Spring,6,4,22.003,2.819,62,10,16,217,445,490,0.00311,101.3,2.9,27.19,2.82,9.63,0.0114,0.004,,,1,
4/17/24,MK,Spring,1,5,20.614,2.836,55,9,16,610,432,323,0.0028,107.4,2.8,27.94,2.6,10.76,0.01,0.005,,,1,
4/17/24,MK,Spring,2,5,25.276,3.169,65,9,16,672,489,356,0.00349,156.7,3.9,24.78,2.66,9.31,0.0141,0.008,,,1,
4/17/24,MK,Spring,3,5,25.051,3.39,64,8,16,530,466,354,0.00308,117.4,2.3,27.36,2.7,10.13,0.0113,0.005,,,1,
4/17/24,MK,Spring,4,6,17.231,1.89,57,7,16,1058,692,486,0.00563,195.6,6.6,24.8,2.74,9.06,0.0227,0.009,,,1,
4/17/24,MK,Spring,5,6,23.047,2.738,60,10,16,1272,386,283,0.0029,148.1,3.1,25.37,2.59,9.79,0.0114,0.007,,,1,
4/17/24,MK,Spring,6,6,22.003,2.819,62,10,16,1145,445,490,0.00311,157.1,3.2,27.19,2.82,9.63,0.0114,0.007,,,1,
5/7/24,MK,Spring,1,1,31.827,3.27,47,11,37,0,413,249,0.00359,-16,0.5,25.19,2.36,10.69,0.0143,-0.001,,,1,
5/7/24,MK,Spring,2,1,27.363,2.907,50,8,37,0,541,330,0.00455,-18,1,26.87,2.74,9.8,0.0169,-0.001,,,1,
5/7/24,MK,Spring,3,1,23.693,2.138,50,7,37,0,457,227,0.00453,-25,1.3,22.81,2.37,9.63,0.0198,-0.001,,,1,
5/7/24,MK,Spring,4,2,30.977,3.278,50,8,37,47,408,254,0.00344,29,0.2,27.54,2.62,10.53,0.0125,0.001,,,1,
5/7/24,MK,Spring,5,2,25.984,2.365,44,9,37,57,419,226,0.00411,40,1.1,26,2.56,10.14,0.0158,0.002,,,1,
5/7/24,MK,Spring,6,2,31.492,3.224,54,8,37,46,310,190,0.00271,22,1.2,29.13,2.51,11.61,0.0093,0.001,,,1,
5/7/24,MK,Spring,1,3,31.827,3.27,47,11,37,109,413,249,0.00359,60,1,25.19,2.36,10.69,0.0143,0.003,,,1,
5/7/24,MK,Spring,2,3,27.363,2.907,50,8,37,107,541,330,0.00455,82,1.2,26.87,2.74,9.8,0.0169,0.004,,,1,
5/7/24,MK,Spring,3,3,23.693,2.138,50,7,37,83,457,227,0.00453,105,2.2,22.81,2.37,9.63,0.0198,0.006,,,1,
5/7/24,MK,Spring,4,4,30.977,3.278,50,8,37,221,408,254,0.00344,82,2.3,27.54,2.62,10.53,0.0125,0.004,,,1,
5/7/24,MK,Spring,5,4,25.984,2.365,44,9,37,235,419,226,0.00411,113,3.4,26,2.56,10.14,0.0158,0.005,,,1,
5/7/24,MK,Spring,6,4,31.492,3.224,54,8,37,226,310,190,0.00271,77,2,29.13,2.51,11.61,0.0093,0.003,,,1,
5/7/24,MK,Spring,1,5,31.827,3.27,47,11,37,496,413,249,0.00359,121,0.8,25.19,2.36,10.69,0.0143,0.006,,,1,
5/7/24,MK,Spring,2,5,27.363,2.907,50,8,37,511,541,330,0.00455,131,2.8,26.87,2.74,9.8,0.0169,0.006,,,1,
5/7/24,MK,Spring,3,5,23.693,2.138,50,7,37,365,457,227,0.00453,168,3.9,22.81,2.37,9.63,0.0198,0.009,,,1,
